sample-id	source	Fraction	density_g_ml	dna_conc	avg_16S_g_soil
149_F1	S149	1	1.7788549200000006	0	4473.708063917067
149_F2	S149	2	1.7733911200000012	0	986.6581023973489
149_F3	S149	3	1.7657418000000025	0	4002.70262
149_F4	S149	4	1.7591852400000008	0	3959.7282531005167
149_F5	S149	5	1.7526286800000008	0.001241303	5725.7319258409525
149_F6	S149	6	1.7460721200000027	0.012815609913462188	7566.272189683324
149_F7	S149	7	1.739515560000001	0.7756398072013909	30926.911907863872
149_F8	S149	8	1.7340517600000016	2.6590783860753944	90143.17418519408
149_F9	S149	9	1.7285879600000005	16.101575585212377	1475519.491
149_F10	S149	10	1.7253096800000023	22.18772238839209	6040362.116985929
149_F11	S149	11	1.71766036	23.563022525894965	16961841.158855233
149_F12	S149	12	1.7111038	1.8881475693709866	2572398.961081113
149_F13	S149	13	1.704547240000002	2.4802819053048384	3266952.967
149_F14	S149	14	1.699083439999999	1.0619606472466252	1551685.016
149_F15	S149	15	1.6936196399999996	1.8703333530233952	1679879.6296745066
149_F16	S149	16	1.6892486000000009	0.7797685403825296	483821.0287638423
149_F17	S149	17	1.6828832730000016	0.5595069994879519	304159.0406225484
149_F18	S149	18	1.6741411930000005	0.45914399955646584	223996.02872959865
149_F19	S149	19	1.6535699860000008	0.1894312525591029	130264.41579042534
150_F1	S150	1	1.774319966000002	0.041872675	11687.23332
150_F2	S150	2	1.771041686000002	0.1357062995166253	19505.206700428167
150_F3	S150	3	1.7633923660000015	0.1915165716731846	33039.56934875827
150_F4	S150	4	1.7579285660000021	0.34330203061824865	51874.512026937795
150_F5	S150	5	1.7513720060000022	0.5199303939849181	78666.69832994936
150_F6	S150	6	1.745908206000001	0.9553652073349226	82962.28370000787
150_F7	S150	7	1.7395428790000018	1.8387394146631022	235733.7731
150_F8	S150	8	1.7340790790000025	4.7781341146506255	380730.1265178173
150_F9	S150	9	1.7286152790000031	12.024146868307264	1415297.1679283765
150_F10	S150	10	1.7242442390000008	21.17158973160007	4471380.266
150_F11	S150	11	1.7187804390000014	23.64122761715252	8150629.3477576105
150_F12	S150	12	1.713316639000002	18.314824519080066	14372259.056870533
150_F13	S150	13	1.7078528390000027	11.315625124633584	9664163.758658782
150_F14	S150	14	1.7023890390000016	5.755999954572576	6402504.213880342
150_F15	S150	15	1.6969252390000023	3.380602352410149	4175433.3248645365
150_F16	S150	16	1.6914614390000011	1.7712744902032858	1808146.687
150_F17	S150	17	1.684904879000003	1.2822576312706933	1020574.0489254964
150_F18	S150	18	1.6785395520000002	0.9858071874925104	686804.3140728767
150_F19	S150	19	1.6468495120000028	0.5673008616279698	466680.5434695067
151_F1	S151	1	1.7787183250000016	0.006932699	1706.9696847861367
151_F2	S151	2	1.7732545250000022	0.007418743	2551.0274032583966
151_F3	S151	3	1.7679819580000018	0	15891.949244305002
151_F4	S151	4	1.7603326380000013	0	3488.548110909453
151_F5	S151	5	1.7559615980000007	0.030718726428534213	8397.600061
151_F6	S151	6	1.748312278000002	0.1375713419246152	14472.389670945035
151_F7	S151	7	1.7428484780000009	0.5051516249394247	42391.64566491097
151_F8	S151	8	1.7373846780000015	2.4407134349779835	198941.26274797064
151_F9	S151	9	1.7308281180000016	13.156624615674614	1101345.023328908
151_F10	S151	10	1.7242715580000016	54.25527007703306	6452060.667
151_F11	S151	11	1.7179062310000006	43.71204083829205	18852676.861756433
151_F12	S151	12	1.7124424310000013	42.303611790211725	27905560.924024034
151_F13	S151	13	1.706978631000002	13.098774379331934	21159054.788148034
151_F14	S151	14	1.7015148310000026	5.897417481007859	10605148.46218954
151_F15	S151	15	1.6949582710000008	3.112122292922096	5340690.577440269
151_F16	S151	16	1.6905872310000003	1.9098530160390068	2344577.924
151_F17	S151	17	1.684221904000001	0.7731094330606508	827007.3931077113
151_F18	S151	18	1.6765725840000005	0.47865126661655877	502858.7946772557
151_F19	S151	19	1.6558101440000002	0.38660087206028076	396168.8456675653
152_F1	S152	1	1.789208820999999	0.16549112448685432	256.6890037
152_F2	S152	2	1.7826522610000008	0.39432265684623796	366.5639581075131
152_F3	S152	3	1.7750029410000003	0.2429796394424243	485.8818316313423
152_F4	S152	4	1.7684463809999986	0.007093032	535.9010393
152_F5	S152	5	1.7629825809999993	0.20532276919797457	1586.9850691076965
152_F6	S152	6	1.757518781	0	1281.3417340635767
152_F7	S152	7	1.751617877000001	0.1641389167821378	1640.5467705132132
152_F8	S152	8	1.7424113739999996	0.2237571800999797	6555.645034743034
152_F9	S152	9	1.7369475740000002	0.8853096128034698	24590.774316776235
152_F10	S152	10	1.7314837740000009	4.330909765019496	255147.69556192798
152_F11	S152	11	1.7249272139999992	6.045655009574149	1109967.3377024399
152_F12	S152	12	1.7183706539999992	5.083763111401943	2566848.048
152_F13	S152	13	1.7129068539999999	2.8916691765624614	2479267.4927971866
152_F14	S152	14	1.7074430540000005	1.329126038508267	1494975.7099209835
152_F15	S152	15	1.703072014	0.6212613309731695	632910.0937
152_F16	S152	16	1.6954226939999995	0.5783467630830991	445920.3248
152_F17	S152	17	1.6890573670000002	0.12232959784901654	24954.69671
152_F18	S152	18	1.6781297669999997	0.24711112764933163	41991.23634225107
152_F19	S152	19	1.6464397270000006	0.16902478480363672	36909.37094087846
161_F1	S161	1	1.7741560520000021	0	1992.0643015253402
161_F2	S161	2	1.7708777720000022	0	1189.276684
161_F3	S161	3	1.7675994920000022	0	1242.4293643354333
161_F4	S161	4	1.759950172	0.004028795	25866.534875181434
161_F5	S161	5	1.7544863720000006	0.018845139352830418	3666.4412958763864
161_F6	S161	6	1.7457442920000013	0.10810808657573216	6748.028826
161_F7	S161	7	1.7415644849999996	0.31631933317634614	16438.002983095434
161_F8	S161	8	1.7350079250000014	2.2086978416944345	85748.61568813944
161_F9	S161	9	1.729544125000002	10.023472487639056	615958.8476467476
161_F10	S161	10	1.7229875650000022	25.882282787395514	3565231.947271813
161_F11	S161	11	1.717523765000001	14.369691024739751	10613578.016671093
161_F12	S161	12	1.7120599650000017	9.623465295812535	10532583.247475132
161_F13	S161	13	1.7055034050000017	4.867141377	9194078.622595264
161_F14	S161	14	1.7022251250000018	0.035510868	4745658.158
161_F15	S161	15	1.6945758050000013	0.048156869	1272799.853
161_F16	S161	16	1.688210478000002	0.066477916	449685.3514207246
161_F17	S161	17	1.6838394380000015	0.080291263	295724.73252768366
161_F18	S161	18	1.6772828779999998	0.038829060882949275	125474.71693074168
161_F19	S161	19	1.6641697580000017	0.043238358	190381.22457869633
162_F1	S162	1	1.7692386320000004	0.1997631866153418	40560.30902
162_F2	S162	2	1.7626820720000023	0.28770282948230763	46129.512576765206
162_F3	S162	3	1.757218272000003	0.43741716278315784	65649.64560558433
162_F4	S162	4	1.750661712000003	0.7106154886535738	112767.94161978234
162_F5	S162	5	1.7453891450000008	1.2740481889981126	153704.5095
162_F6	S162	6	1.7399253450000014	2.616627879879544	293688.82777371834
